EKG
518.0
512.0
526.0
510.0
518.0
516.0
505.0
523.0
506.0
509.0
519.0
501.0
520.0
511.0
503.0
519.0
506.0
512.0
516.0
504.0
517.0
505.0
503.0
517.0
502.0
516.0
507.0
501.0
519.0
507.0
514.0
515.0
503.0
521.0
511.0
506.0
516.0
499.0
508.0
503.0
513.0
537.0
530.0
516.0
508.0
492.0
508.0
497.0
495.0
507.0
492.0
506.0
499.0
494.0
511.0
496.0
499.0
504.0
489.0
505.0
495.0
490.0
508.0
497.0
513.0
513.0
508.0
532.0
521.0
522.0
528.0
515.0
530.0
517.0
513.0
524.0
508.0
517.0
512.0
501.0
521.0
509.0
510.0
517.0
502.0
519.0
508.0
502.0
519.0
506.0
514.0
511.0
501.0
519.0
505.0
504.0
510.0
498.0
514.0
508.0
503.0
518.0
505.0
514.0
511.0
503.0
520.0
506.0
500.0
504.0
498.0
531.0
531.0
519.0
517.0
499.0
504.0
500.0
491.0
510.0
498.0
498.0
505.0
493.0
508.0
499.0
493.0
509.0
494.0
499.0
500.0
491.0
508.0
497.0
499.0
513.0
507.0
524.0
520.0
515.0
529.0
516.0
521.0
520.0
510.0
527.0
513.0
509.0
520.0
506.0
518.0
512.0
505.0
521.0
508.0
511.0
512.0
504.0
520.0
509.0
506.0
517.0
503.0
517.0
509.0
499.0
515.0
501.0
507.0
512.0
502.0
519.0
510.0
505.0
514.0
503.0
515.0
507.0
499.0
510.0
502.0
524.0
533.0
517.0
517.0
499.0
495.0
507.0
492.0
504.0
499.0
492.0
511.0
498.0
501.0
504.0
493.0
508.0
499.0
493.0
505.0
492.0
504.0
500.0
494.0
516.0
509.0
515.0
524.0
512.0
527.0
517.0
511.0
526.0
512.0
519.0
514.0
504.0
520.0
509.0
510.0
516.0
504.0
520.0
507.0
503.0
517.0
505.0
513.0
510.0
502.0
519.0
504.0
505.0
511.0
498.0
511.0
505.0
502.0
518.0
503.0
512.0
510.0
499.0
517.0
505.0
503.0
509.0
495.0
517.0
